"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Alley Maintenance","Contracts, Field Services & Maintenance","E-Mail","APR 08, 2020 03:25:28 PM","15##","WESTMINSTER","WARD 8"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 16, 2020 10:56:44 AM","11##","MCDOUGALL","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 30, 2020 09:08:12 AM","3##","GLADSTONE","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","JAN 08, 2020 11:15:12 AM","11##","WELLINGTON","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 03, 2020 09:26:47 AM","9##","BRIDGE","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 06, 2020 11:53:51 AM","2##","RANKIN","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 21, 2020 11:09:45 AM","17##","BENJAMIN","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 26, 2020 12:34:23 PM","7##","WINDSOR","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 03, 2020 04:07:05 PM","7##","MCDOUGALL","WARD 3"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 03, 2020 04:26:50 PM"," ","CENTRAL AVE & FRANKLIN ST","WARD 5"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","FEB 26, 2020 03:17:17 PM","11##","JOSEPHINE","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 26, 2020 11:52:22 AM","12##","CAMPBELL","WARD 2"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 31, 2020 12:39:52 PM","23##","MOY","WARD 4"," "
"Alley Maintenance","Contracts, Field Services & Maintenance","Phone","MAR 31, 2020 01:31:33 PM","1##","ELM","WARD 3"," "
